gene	CNA: BLCA	CNA: BRCA	CNA: CESC	CNA: COAD	CNA: ESCA	CNA: HNSC	CNA: KIRC	CNA: KIRP	CNA: LIHC	CNA: LUAD	CNA: LUSC	CNA: PRAD	CNA: READ	CNA: STAD	CNA: THCA	CNA: UCEC	GE: BLCA	GE: BRCA	GE: CESC	GE: COAD	GE: ESCA	GE: HNSC	GE: KIRC	GE: KIRP	GE: LIHC	GE: LUAD	GE: LUSC	GE: PRAD	GE: READ	GE: STAD	GE: THCA	GE: UCEC	METH: BLCA	METH: BRCA	METH: CESC	METH: COAD	METH: ESCA	METH: HNSC	METH: KIRC	METH: KIRP	METH: LIHC	METH: LUAD	METH: LUSC	METH: PRAD	METH: READ	METH: STAD	METH: THCA	METH: UCEC	MF: BLCA	MF: BRCA	MF: CESC	MF: COAD	MF: ESCA	MF: HNSC	MF: KIRC	MF: KIRP	MF: LIHC	MF: LUAD	MF: LUSC	MF: PRAD	MF: READ	MF: STAD	MF: THCA	MF: UCEC
A1BG	0.0	0.0	0.1674008810572687	0.0	0.0	0.2552631578947368	0.0	0.0954773869346733	0.0	0.0	0.0	0.0	0.2448979591836734	0.0	0.0	0.26171875	0.011978180379676	0.1264501908774139	0.2046610502641318	0.1128850017485798	0.0269873031848502	0.0864499030830907	0.0232334206857438	0.0033704892029843	0.1779140945146006	0.0109805236591915	0.0069677959792286	0.2534600812471442	0.0961057528056073	0.0766784239768116	0.1085693305726118	0.1141002014052618	0.4002908271885593	0.0305842464253452	0.0316807231706064	0.185412097302436	0.0154124465227656	0.0996426629352224	0.0164740772083899	0.2163472015536808	0.1555410319331943	0.0649966446508257	0.0306700373725018	0.0788597723537957	0.3263618859182434	0.3170128265352808	0.0529109106812036	0.192009226340632	0.0	0.0106286201343383	0.0	0.0054464575937973	0.0	0.0054026757619104	0.0128375005428279	0.0409696193815928	0.0501144660689836	0.0	0.0	0.0227740599217935	0.0282882888234202	0.0130542594179326	0.0	0.0077118891205295
A1CF	0.0	0.0	0.0	0.0	0.2839506172839506	0.0	0.0	0.0822510822510822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.165016501650165	0.0	0.0	0.0	0.0815570758018705	0.3303365446881845	0.0	0.0191204527347148	0.2557293469283317	0.0679944397434059	0.0	0.0	0.0	0.0034513804102759	0.1015471235900764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0337284264476458	0.031240278046706	0.0214651631888983	0.0	0.0	0.0053625215670072	0.0126976360906859	0.0	0.024671972238668	0.1179009113741144	0.0	0.0903405657226574	0.0277624400541984	0.0114484654140042	0.0	0.0102512665309158
A2M	0.0	0.0	0.0	0.1744186046511628	0.0	0.0	0.0	0.0	0.0	0.2892561983471075	0.0	0.0	0.1298701298701299	0.2391304347826087	0.0	0.0	0.2945101768908948	0.1756998749081169	0.3085363210224193	0.1083923264041085	0.0596006227058163	0.0094366489465932	0.0231987656182022	0.0696283717743234	0.1423401890080924	0.2616542554027627	0.3622456103554256	0.0391360288791706	0.0963653768418793	0.0028474146660556	0.0538212044814557	0.244697582262564	0.0899321478304917	0.4165352053975169	0.6757729115057178	0.1149235039473972	0.2826580720640112	0.3112628152180534	0.3061558718303416	0.0899818007076731	0.0269467119801706	0.0495537578647462	0.0533095104403593	0.2912895287422301	0.2029180487228358	0.3850525266512759	0.0611815718884036	0.3950019491889484	0.0362836956913228	0.010607538074263	0.0	0.0162036122209961	0.0270276597891916	0.0162035268319866	0.0128358304408676	0.0408772422030648	0.0	0.122328317822393	0.1097691213104479	0.0227726376292168	0.0	0.0389976613242314	0.0036009709130078	0.019195733017007
A2ML1	0.0	0.0	0.0	0.1840490797546012	0.0	0.0	0.0	0.0	0.0	0.3713527851458886	0.0	0.0	0.1360544217687075	0.2491909385113268	0.0	0.0	0.2571585617002909	0.1150842907754358	0.4735447541694431	0.0496524468793984	0.3190505088212841	0.2800292934567107	0.1754165265657487	0.1311211423139023	0.0	0.0257527288509897	0.5157742156449076	0.1156356672373295	0.0476002454358865	0.0900452426066512	0.214684955388594	0.09313925257766	0.7074939209353982	0.132333991545101	0.60645029361625	0.2418415071422497	0.6085786627834504	0.2187003044904215	0.0989168267696602	0.0275804589734508	0.5025556655506463	0.2648612801326344	0.6231091596401179	0.0224807977606893	0.375879309700822	0.3244793591557149	0.0560866798275968	0.3249868914329399	0.0611325432902792	0.0158619048649414	0.0	0.0537994729021801	0.0	0.0382455629210855	0.0	0.0408659632736422	0.049805274755563	0.0400165408893663	0.0545327985414237	0.0227131789356816	0.0	0.0637552132831266	0.0	0.0075997719754906
A3GALT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0123168154578951	0.0	0.0145136253761431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1143561429956441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0280777915889374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0130213401664427	0.0	0.0
A4GALT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9888888888888892	0.0	0.0899769479421056	0.0565367589092751	0.0121152837110189	0.0463545819025643	0.0191845683083127	0.0060908625163204	0.0460140356941592	0.0325378436949428	0.0752785066386532	0.03006420257355	0.0830874126020601	0.0977692027906959	0.0726514909629067	0.0711607323827828	0.0006605376587869	0.0417623205149538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0548420951765056	0.0108538522732615	0.0	0.0054023249201377	0.0	0.0	0.0	0.0	0.0	0.0227275218977478	0.0	0.0	0.0	0.0
A4GNT	0.0	0.0	0.0	0.0	0.0	0.0	0.3462365591397849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1518121090469994	0.3141863506698658	0.0564364764934538	0.0	0.0	0.1234930929584298	0.0542035811878424	0.0318024680815732	0.2734905275826106	0.2483652143820653	0.2565198620511488	0.0	0.0	0.0999208333393821	0.186773293192938	0.2422244140934288	0.4644890488838246	0.3311385343997436	0.3870497700651785	0.3061223260899099	0.1571553835526991	0.4931386691663378	0.127466216835898	0.0802772302363979	0.2363593437760571	0.2304633329079063	0.3887160069813338	0.0543359042857297	0.4538381293810218	0.3725878574342307	0.016454804237449	0.2021460682900262	0.0	0.005309091783195	0.0281713036542394	0.0	0.0	0.0110053485781389	0.0	0.0409738238060632	0.0	0.0	0.0548574366129767	0.0227732574640251	0.0	0.0129925137503469	0.0	0.0
AACS	0.0	0.2271259418729817	0.0	0.0	0.0	0.1590909090909091	0.0	0.0	0.1750741839762611	0.2747933884297521	0.1787941787941788	0.1291291291291291	0.0	0.0	0.0	0.2178217821782178	0.0721832312834785	0.0320134920203458	0.1081344520965491	0.002561582288443	0.0230411851507396	0.0208780009734552	0.0448874166564223	0.00648499021659	0.1096416321843782	0.0507603736923569	0.058245741059064	0.0445448528518657	0.0079036807651976	0.0148453661563562	0.0376205925847602	0.0724710827003657	0.0229979458847595	0.0225983272740278	0.0075377116691251	0.0102746258431307	0.0099024880818074	0.0027314850538958	0.0172437690255458	0.0315690359181458	0.0360805041142339	0.0492208463451124	0.0297182231703463	0.0136760703849048	0.0103236141740394	0.0003080530112818	0.0105694776154776	0.0127420092282052	0.0	0.0	0.0	0.0	0.0	0.0161183005340696	0.0	0.0	0.0	0.020503804600914	0.0	0.0	0.0283968845790988	0.0386161745501048	0.0036021198681119	0.0115569351013734
AADAC	0.0	0.0	0.0	0.0	0.0	0.0	0.3462365591397849	0.4372294372294372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0806156526922601	0.5798315658065459	0.1481313982026396	0.0723733160211481	0.2658220871484232	0.4134595624579344	0.0924473704144067	0.0	0.0809547503236681	0.4272925098702255	0.1503637002086704	0.0	0.0931557504688145	0.253454065660985	0.0	0.056647976584206	0.2057891864614669	0.0390264247141769	0.0603688035785036	0.0390216062675277	0.0451773519599943	0.0600952692125104	0.045748920321246	0.0403577795240614	0.1448147612924293	0.0086011568576453	0.1340541916511732	0.079471939939209	0.0392601250614649	0.1617492875683683	0.0054721371354753	0.0438653646945144	0.0	0.0052981775457127	0.0	0.0054469339215722	0.0	0.016478127829769	0.0128364846956114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0077290217080402
AADACL2	0.0	0.0	0.0	0.0	0.0	0.0	0.3462365591397849	0.507537688442211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4274308747669603	0.0	0.2421497175713637	0.33512064384553	0.0	0.0	0.0	0.0	0.0996223897305486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0564618192757646	0.0	0.0	0.0	0.0	0.0	0.0250452794293464	0.0204869242563343	0.0	0.0	0.0	0.0	0.0036039602494949	0.0
