	CNA: BLCA	CNA: BRCA	CNA: CESC	CNA: COAD	CNA: ESCA	CNA: HNSC	CNA: KIRC	CNA: KIRP	CNA: LIHC	CNA: LUAD	CNA: LUSC	CNA: PRAD	CNA: READ	CNA: STAD	CNA: THCA	CNA: UCEC	GE: BLCA	GE: BRCA	GE: CESC	GE: COAD	GE: ESCA	GE: HNSC	GE: KIRC	GE: KIRP	GE: LIHC	GE: LUAD	GE: LUSC	GE: PRAD	GE: READ	GE: STAD	GE: THCA	GE: UCEC	METH: BLCA	METH: BRCA	METH: CESC	METH: COAD	METH: ESCA	METH: HNSC	METH: KIRC	METH: KIRP	METH: LIHC	METH: LUAD	METH: LUSC	METH: PRAD	METH: READ	METH: STAD	METH: THCA	METH: UCEC	MF: BLCA	MF: BRCA	MF: CESC	MF: COAD	MF: ESCA	MF: HNSC	MF: KIRC	MF: KIRP	MF: LIHC	MF: LUAD	MF: LUSC	MF: PRAD	MF: READ	MF: STAD	MF: THCA	MF: UCEC
A1CF	0.0	0.0	0.0	0.0	0.2839506172839506	0.0	0.0	0.0822510822510822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.165016501650165	0.0	0.0	0.0	0.0815570758018705	0.3303365446881845	0.0	0.0191204527347148	0.2557293469283317	0.0679944397434059	0.0	0.0	0.0	0.0034513804102759	0.1015471235900764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0337284264476458	0.031240278046706	0.0214651631888983	0.0	0.0	0.0053625215670072	0.0126976360906859	0.0	0.024671972238668	0.1179009113741144	0.0	0.0903405657226574	0.0277624400541984	0.0114484654140042	0.0	0.0102512665309158
AAAS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1298701298701299	0.1832298136645962	0.0	0.0	0.0278758862734953	0.0036607297869719	0.0084438678728908	0.0243317810292625	0.0275475826537597	0.0194990026439539	0.0168214781397716	0.0325219542360235	0.0596376818989427	0.0305231034450884	0.0437757777348192	0.0389757935481071	0.0287472983051031	0.0059517116735558	0.0226061158542283	0.0161669484189888	0.2352576438034745	0.1475285622834334	0.0115016300726244	0.0433489221898047	0.3152599276578271	0.1820192766432553	0.1432105362535487	0.0283860183992315	0.0006504880328006	0.0125677527258546	0.1184545662782767	0.2015508906275153	0.0434920029814484	0.248668381621303	0.0696930070750252	0.0760847586606611	0.0	0.0053055241491167	0.0	0.0	0.0	0.0164245462713941	0.0256614119224573	0.0408718997329828	0.0	0.0	0.0	0.0	0.0	0.0127457090463682	0.0036039770650489	0.0038287301796583
AANAT	0.5825825825825826	0.0	0.0	0.0	0.0	0.0	0.0	0.8614718614718614	0.0	0.0	0.4906444906444907	0.0	0.0	0.0	0.0842105263157894	0.0	0.0197117624202112	0.0798747655418172	0.0399490004882135	0.044980732749495	0.0482623334848861	0.0262787033808687	0.014108266328603	0.0128459297624072	0.0379004942446528	0.0143840576962732	0.0041181715189812	0.0702266448824615	0.0458149880486371	0.0315845187502282	0.1656360535541629	0.0548515223828323	0.1298845995336117	0.0340307594828771	0.0118071093645864	0.0459256002323956	0.005003919057744	0.0362968897462354	0.0663086903000456	0.0091356207402229	0.1292665739295165	0.004804962323051	0.0264939341947354	0.0746829221055004	0.0698441509822213	0.0880955782703481	0.0425246276501214	0.0611880773248718	0.0	0.00530758470497	0.0	0.0054460657327261	0.0	0.0	0.0	0.0	0.0250457153605228	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AARS1	0.3243243243243243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0059059676082711	0.0010287037400296	0.0001911792936801	0.0587086760252245	9.88298039176067e-05	0.0474262463458252	0.0220262956141549	0.00375858218816	0.0220215410489039	0.0419890515077783	0.0465758773479656	0.0041091720613547	0.0657639353745901	0.0193109464677294	0.0472292360196889	0.0151213177508394	0.0030284546240015	0.0065203754256199	0.0201196006598248	0.0028913353660055	0.0311089819291624	0.0007323962371235	0.0006636044777745	0.0013502032824826	0.0077654458807632	0.0072232705696655	0.008655322858135	0.0061315276036166	0.0023136482163031	0.0326967005002106	0.0031613832361955	0.0034229642883284	0.0359568600655656	0.0265483648307764	0.0559417225831492	0.0	0.0	0.0054875758046492	0.0128306635553331	0.040913795124896	0.0	0.0203778818703489	0.0	0.0227669119149338	0.0281319437967918	0.0	0.0	0.0115274614154389
AARS2	0.0	0.0	0.0	0.2790697674418605	0.0	0.0	0.0	0.1125541125541125	0.0	0.0	0.0	0.0	0.3506493506493508	0.0	0.0	0.0	0.0458286045315571	0.0156602637254021	0.032014650047942	0.0169123226142671	0.023491435418202	0.0149952836747754	0.0053777073202213	0.0092395818024212	0.1032343564739376	0.0467545561270252	0.044059750417438	0.0156633392381923	0.0232110266890994	0.0308574143314153	0.0201848095163733	0.0220671617057714	0.0942818250307743	0.0409584100643954	0.015036641448232	0.026741454598979	0.036329908521318	0.0632122935473647	0.0476315271909079	0.0647742179231326	0.0356146415475667	0.0766843213477024	0.0436683560867057	0.0811266561941758	0.0494917989457807	0.0330502548727837	0.1298148183632352	0.0627852744987216	0.0	0.010510247929102	0.0281830761196376	0.0054331344084111	0.0	0.0217663302138192	0.0	0.0818439569772147	0.0249652590265846	0.0	0.0546948894154264	0.0	0.0	0.0130375846673292	0.0	0.0115436889992615
AASS	0.0	0.0	0.2643171806167401	0.0	0.0	0.0	0.3763440860215054	0.0	0.1008902077151335	0.0	0.0	0.0	0.0	0.0	0.0105263157894736	0.207920792079208	0.1605743189737842	0.2327366613956912	0.1789271516299232	0.003158751407923	0.0983101729003755	0.0785762136656082	0.0632530711538214	0.0700580209290556	0.1468938362067879	0.0711972114183726	0.0538724510534509	0.0090027105609357	0.0220868294966657	0.0209252323109321	0.1340963447017752	0.2214836500635723	0.0088051496500417	0.0451856416785468	0.0917907400426668	0.1271435696322891	0.0169993333253979	0.021984565170558	0.0142710047115275	0.0107534381239941	0.0119367528232546	0.0057333344511089	0.0012689092603875	0.0094181034007522	0.0596443140380583	0.0981927530865483	0.0169726804926056	0.0146764209486448	0.0	0.0106182584560621	0.0270454353131084	0.0162651413794933	0.0	0.0105670261450331	0.0	0.1226008220118309	0.0250058459596863	0.0818374140297814	0.0	0.0455251475509389	0.0	0.0383514212233509	0.0	0.0038243398402766
ABCA1	0.5345345345345345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3531157270029673	0.0	0.0	0.1861861861861862	0.0	0.0	0.2947368421052632	0.0	0.0713024742813346	0.1506025392581874	0.0262513179993528	0.0859049588874195	0.04863075084365	0.0726247125469861	0.0950728422736089	0.050289006999156	0.0785301818739507	0.1227556885383598	0.0455363723951512	0.0063646761742711	0.0688376680314964	0.067214412790454	0.0641263880837432	0.0104345849902125	0.0235268469667189	0.2208192950691045	0.0607871833967405	0.043715015328745	0.0054072505837266	0.0256173217280395	0.1108031240556215	0.0319906968712883	0.0779911621375835	0.0768579802041034	0.0657947868744549	0.1142700621745006	0.0113334741021391	0.0956445417606749	0.071287329359667	0.0063572992873878	0.0343324005526924	0.0211287139074524	0.027808087565868	0.0538274360590527	0.0808008633873539	0.0327777339981092	0.051144206649454	0.0407184777214576	0.0746169693473545	0.0591875059176792	0.108518786455473	0.0222286630324743	0.0	0.0254456910167778	0.0	0.0409677563506652
ABCA12	0.0	0.0	0.0	0.0	0.0	0.4131578947368421	0.0	0.0603015075376884	0.0	0.0	0.3517699115044248	0.0	0.0	0.0	0.1444444444444444	0.0	0.190267119907923	0.1265949552816525	0.4622292656737133	0.0532827161227574	0.4089306203438456	0.0962869250860913	0.1693759877536854	0.2599376517873788	0.0	0.476644635136324	0.4479270308422396	0.3304260643838125	0.0537247372029363	0.0215136311769711	0.0188628796416135	0.1509474958024095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0606312208506261	0.0315653278094932	0.0827752565097273	0.048234168312263	0.0	0.016249485288131	0.0255322771377571	0.0816072884532761	0.1967761028445906	0.1188223828082526	0.0	0.0908360430165379	0.0	0.1249044203672118	0.01776570048343	0.0485565684826623
ABCA3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1327737771266766	0.0768426271272706	0.0523757787631916	0.0617310155766467	0.1200870327474935	0.0934489992276125	0.0398722048419873	0.0822062774654472	0.0970028992869097	0.3210324521403022	0.4490693990507795	0.0639112619941824	0.1065475386896546	0.0033400537407351	0.0361819918692861	0.1250986314166739	0.0456197792925639	0.0235940322078544	0.1233031919129745	0.0011079069280016	0.0010383228755034	0.0617390010418475	0.0726523035719789	0.0892440501314741	0.0151131915120493	0.0018121890301676	0.0266437822836001	0.0221099754659936	0.0147287933268567	0.0045669475914418	0.0294889727545616	0.0279426118209314	0.0713045165733038	0.0101550150330373	0.0278650880519713	0.0267863022536686	0.0	0.0161762225013878	0.0128195821636951	0.0	0.0	0.0200685871694973	0.0	0.0	0.0272055247422863	0.0639089669626003	0.0035924339819904	0.0263050698787416
ABCA4	0.0	0.3832077502691065	0.1497797356828194	0.3459302325581395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1741741741741742	0.0	0.2888198757763976	0.0	0.0	0.0215454023629243	0.1311078343989311	0.0716049949425851	0.0585320196162496	0.0262827957840371	0.0318247172820007	0.2119570149877719	0.3018392070378943	0.0482748557927645	0.1607148772099332	0.0064787847948133	0.0991744581290965	0.0735404170424913	0.1317654011166668	0.0687041514431816	0.1764494211283899	0.1974612581991986	0.0596561506358724	0.1832218158202354	0.1447411245093693	0.1410391958735034	0.2519958968155706	0.3320166201543332	0.3205240571658278	0.1776848056110523	0.1012168118619257	0.2177428761036195	0.0084637769820296	0.2183986844999603	0.1768163347151601	0.0943617535150135	0.1411659501314602	0.0	0.0105832501569973	0.1663304778230102	0.0481092353980255	0.0	0.0161865939259218	0.0	0.0817252184763028	0.0248940290885648	0.039289357268423	0.1090273034645782	0.0682471426701737	0.0	0.1247544052244328	0.0	0.0186318752863212
