symbol	Oncogene	TSG
A1CF	Yes	No
AAAS	No	No
AANAT	No	No
AARS1	No	No
AARS2	No	No
AASS	No	No
ABCA1	No	No
ABCA12	No	No
ABCA3	No	No
ABCA4	No	No
ABCB1	No	No
ABCB11	No	No
ABCB4	No	No
ABCB7	No	No
ABCC2	No	No
ABCC6	No	No
ABCC8	No	No
ABCC9	No	No
ABCD1	No	No
ABCD1P4	No	No
ABI1	No	No
ABL1	No	No
ACAD8	No	No
ACAD9	No	No
ACADM	No	No
ACADS	No	No
ACADSB	No	No
ACADVL	No	No
ACE	No	No
ACOX1	No	No
ACSL3	No	No
ACSL4	No	No
ACSL6	No	No
ACTA1	No	No
ACTA2	No	No
ACTB	No	No
ACTC1	No	No
ACTN2	No	No
ACTN4	No	No
ACVR1	No	No
ACVR1B	No	No
ACVRL1	No	No
ACY1	No	No
ADAM33	No	No
ADAM9	No	No
ADAMTS10	No	No
ADAMTS13	No	No
ADAMTS2	No	No
ADAMTSL4	No	No
ADGB	No	No
ADGRG1	No	No
ADGRG4	No	No
ADGRV1	No	No
ADIPOQ	No	No
ADRA1B	No	No
AFF1	No	No
AFF2	No	No
AFF3	No	No
AFF4	No	No
AFG3L2	No	No
AGA	No	No
AGBL3	No	No
AGGF1	No	No
AGL	No	No
AGO2	No	No
AGPAT2	No	No
AGPS	No	No
AGRP	No	No
AGT	No	No
AGTR1	No	No
AGTR2	No	No
AGXT	No	No
AICDA	No	No
AIFM1	No	No
AIP	No	No
AIPL1	No	No
AIRE	No	No
AK1	No	No
AK2	No	No
AKAP10	No	No
AKAP9	No	No
AKT1	No	No
AKT2	No	No
AKT3	Yes	No
ALAD	No	No
ALAS2	No	No
ALB	No	No
ALDH2	No	No
ALDH3A2	No	No
ALDOB	No	No
ALG1	No	No
ALG11	No	No
ALG12	No	No
ALG2	No	No
ALG3	No	No
ALG6	No	No
ALG8	No	No
ALG9	No	No
ALK	No	No
ALMS1	No	No
ALOX12B	No	No
ALOX5AP	No	No
ALOXE3	No	No
ALPL	No	No
ALS2	No	No
ALX4	No	No
AMELX	No	No
AMER1	No	No
AMH	No	No
AMHR2	No	No
AMN	No	No
AMT	No	No
ANG	No	No
ANGPTL3	No	No
ANK1	No	No
ANK2	No	No
ANKH	No	No
ANKRD1	No	No
ANKRD7	No	No
ANO10	No	No
ANO5	No	No
ANO6	No	No
ANOS1	No	No
ANTXR1	No	No
ANTXR2	No	No
AP1S2	No	No
AP3B1	No	No
AP4E1	No	No
AP4M1	No	No
AP5Z1	No	No
APC	No	No
APCDD1	No	No
APEH	No	No
APH1A	No	No
APOA1	No	No
APOA5	No	No
APOB	No	No
APOBEC3B	No	No
APOC2	No	No
APOE	No	No
APOL1	No	No
APP	No	No
APTX	No	No
AQP12B	No	No
AQP2	No	No
AR	No	No
ARAF	Yes	No
ARFGEF2	No	No
ARFRP1	No	No
ARG1	No	No
ARHGAP20	No	No
ARHGAP24	No	No
ARHGAP26	No	No
ARHGAP31	No	No
ARHGAP5	Yes	No
ARHGEF10	No	Yes
ARHGEF10L	No	Yes
ARHGEF6	No	No
ARID3C	No	No
ARID5A	No	No
ARID5B	No	No
ARL11	No	No
ARL6	No	No
ARMS2	No	No
ARNT	No	No
ARSA	No	No
ARSB	No	No
ARSL	No	No
ARX	No	No
ASAH1	No	No
ASCC1	No	No
ASL	No	No
ASMTL	No	No
ASPA	No	No
ASPM	No	No
ASPN	No	No
ASPSCR1	No	No
ASS1	No	No
ASXL1	No	No
ASXL2	No	Yes
ATCAY	No	No
ATF1	No	No
ATG16L1	No	No
ATG5	No	No
ATL1	No	No
ATM	No	No
ATN1	No	No
ATOH7	No	No
ATP10A	No	No
