"ENTREZID" "SYMBOL"
"1" "374654" "KIF7"
"2" "1302" "COL11A2"
"3" "8626" "TP63"
"4" "2657" "GDF1"
"5" "5190" "PEX6"
"6" "2138" "EYA1"
"7" "10083" "USH1C"
"8" "5077" "PAX3"
"9" "5824" "PEX19"
"10" "5828" "PEX2"
"11" "7050" "TGIF1"
"12" "80144" "FRAS1"
"13" "57514" "ARHGAP31"
"14" "64093" "SMOC1"
"15" "10743" "RAI1"
"16" "3481" "IGF2"
"17" "7399" "USH2A"
"18" "673" "BRAF"
"19" "7046" "TGFBR1"
"20" "64072" "CDH23"
"21" "128178" "EDARADD"
"22" "4239" "MFAP4"
"23" "3643" "INSR"
"24" "7048" "TGFBR2"
"25" "2261" "FGFR3"
"26" "2314" "FLII"
"27" "4647" "MYO7A"
"28" "2068" "ERCC2"
"29" "79738" "BBS10"
"30" "55997" "CFC1"
"31" "10804" "GJB6"
"32" "80326" "WNT10A"
"33" "1387" "CREBBP"
"34" "6591" "SNAI2"
"35" "136647" "MPLKIP"
"36" "6901" "TAZ"
"37" "57194" "ATP10A"
"38" "9496" "TBX4"
"39" "79809" "TTC21B"
"40" "4281" "MID1"
"41" "4286" "MITF"
"42" "6663" "SOX10"
"43" "5317" "PKP1"
"44" "4487" "MSX1"
"45" "6496" "SIX3"
"46" "2071" "ERCC3"
"47" "64840" "PORCN"
"48" "2074" "ERCC6"
"49" "8517" "IKBKG"
"50" "585" "BBS4"
"51" "582" "BBS1"
"52" "583" "BBS2"
"53" "80184" "CEP290"
"54" "124590" "USH1G"
"55" "65217" "PCDH15"
"56" "129880" "BBS5"
"57" "7020" "TFAP2A"
"58" "3265" "HRAS"
"59" "4626" "MYH8"
"60" "1837" "DTNA"
"61" "137814" "NKX2-6"
"62" "51057" "WDPCP"
"63" "79955" "PDZD7"
"64" "4750" "NEK1"
"65" "5573" "PRKAR1A"
"66" "1723" "DHODH"
"67" "641" "BLM"
"68" "55636" "CHD7"
"69" "4952" "OCRL"
"70" "7546" "ZIC2"
"71" "7547" "ZIC3"
"72" "8504" "PEX3"
"73" "9126" "SMC3"
"74" "117581" "TWIST2"
"75" "3868" "KRT16"
"76" "1908" "EDN3"
"77" "79659" "DYNC2H1"
"78" "2200" "FBN1"
"79" "27241" "BBS9"
"80" "8195" "MKKS"
"81" "3691" "ITGB4"
"82" "341640" "FREM2"
"83" "182" "JAG1"
"84" "10913" "EDAR"
"85" "84059" "ADGRV1"
"86" "3892" "KRT86"
"87" "9409" "PEX16"
"88" "25861" "WHRN"
"89" "5781" "PTPN11"
"90" "2121" "EVC"
"91" "5894" "RAF1"
"92" "1910" "EDNRB"
"93" "7840" "ALMS1"
"94" "4838" "NODAL"
"95" "3887" "KRT81"
"96" "404672" "GTF2H5"
"97" "11005" "SPINK5"
"98" "5184" "PEPD"
"99" "84100" "ARL6"
"100" "3889" "KRT83"
"101" "1028" "CDKN1C"
"102" "5818" "NECTIN1"
"103" "7405" "UVRAG"
"104" "7401" "CLRN1"
"105" "6495" "SIX1"
"106" "2736" "GLI2"
"107" "2737" "GLI3"
"108" "132884" "EVC2"
"109" "1161" "ERCC8"
"110" "4088" "SMAD3"
"111" "22954" "TRIM32"
"112" "147912" "SIX5"
"113" "64324" "NSD1"
"114" "1717" "DHCR7"
"115" "6899" "TBX1"
"116" "1896" "EDA"
"117" "5728" "PTEN"
"118" "123016" "TTC8"
"119" "5195" "PEX14"
"120" "91147" "TMEM67"
"121" "5727" "PTCH1"
"122" "5193" "PEX12"
"123" "5192" "PEX10"
"124" "2033" "EP300"
"125" "4204" "MECP2"
"126" "57539" "WDR35"
"127" "207" "AKT1"
"128" "55212" "BBS7"
"129" "493856" "CISD2"
"130" "81794" "ADAMTS10"
"131" "8243" "SMC1A"
"132" "4792" "NFKBIA"
