[I 2025-12-03 21:55:54,407] A new study created in memory with name: k_nearest_neighbors_fold_1
[I 2025-12-03 21:55:54,784] Trial 0 finished with value: 0.08197892104138955 and parameters: {'n_neighbors': 4, 'weights': 'distance', 'algorithm': 'brute', 'p': 1, 'leaf_size': 35}. Best is trial 0 with value: 0.08197892104138955.
[I 2025-12-03 21:55:55,208] Trial 1 finished with value: 0.09705614975911696 and parameters: {'n_neighbors': 15, 'weights': 'distance', 'algorithm': 'brute', 'p': 1, 'leaf_size': 40}. Best is trial 1 with value: 0.09705614975911696.
[I 2025-12-03 21:55:55,391] Trial 2 finished with value: 0.08694200091995449 and parameters: {'n_neighbors': 7, 'weights': 'uniform', 'algorithm': 'brute', 'p': 2, 'leaf_size': 29}. Best is trial 1 with value: 0.09705614975911696.
[I 2025-12-03 21:55:55,828] Trial 3 finished with value: 0.1035647616479485 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'brute', 'p': 1, 'leaf_size': 22}. Best is trial 3 with value: 0.1035647616479485.
[I 2025-12-03 21:55:56,019] Trial 4 finished with value: 0.11650046581762523 and parameters: {'n_neighbors': 16, 'weights': 'distance', 'algorithm': 'auto', 'p': 2, 'leaf_size': 37}. Best is trial 4 with value: 0.11650046581762523.
[I 2025-12-03 21:56:00,140] Trial 5 finished with value: 0.11199471804873085 and parameters: {'n_neighbors': 13, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 28}. Best is trial 4 with value: 0.11650046581762523.
[I 2025-12-03 21:56:03,125] Trial 6 finished with value: 0.1180040399241219 and parameters: {'n_neighbors': 17, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 26}. Best is trial 6 with value: 0.1180040399241219.
[I 2025-12-03 21:56:06,047] Trial 7 finished with value: 0.09068766658785321 and parameters: {'n_neighbors': 10, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 25}. Best is trial 6 with value: 0.1180040399241219.
[I 2025-12-03 21:56:06,227] Trial 8 finished with value: 0.07712689142154913 and parameters: {'n_neighbors': 3, 'weights': 'uniform', 'algorithm': 'auto', 'p': 2, 'leaf_size': 35}. Best is trial 6 with value: 0.1180040399241219.
[I 2025-12-03 21:56:10,551] Trial 9 finished with value: 0.08390049367901427 and parameters: {'n_neighbors': 15, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 21}. Best is trial 6 with value: 0.1180040399241219.
[I 2025-12-03 21:56:13,429] Trial 10 finished with value: 0.12017816020804069 and parameters: {'n_neighbors': 19, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 32}. Best is trial 10 with value: 0.12017816020804069.
[I 2025-12-03 21:56:16,240] Trial 11 finished with value: 0.1213972350746052 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 32}. Best is trial 11 with value: 0.1213972350746052.
[I 2025-12-03 21:56:19,118] Trial 12 finished with value: 0.1213972350746052 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 32}. Best is trial 11 with value: 0.1213972350746052.
[I 2025-12-03 21:56:21,910] Trial 13 finished with value: 0.1213972350746052 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 31}. Best is trial 11 with value: 0.1213972350746052.
[I 2025-12-03 21:56:24,757] Trial 14 finished with value: 0.11130196876250815 and parameters: {'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 34}. Best is trial 11 with value: 0.1213972350746052.
[I 2025-12-03 21:56:27,550] Trial 15 finished with value: 0.11819422420579051 and parameters: {'n_neighbors': 18, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 32}. Best is trial 11 with value: 0.1213972350746052.
[I 2025-12-03 21:56:30,288] Trial 16 finished with value: 0.11171655144214868 and parameters: {'n_neighbors': 13, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 38}. Best is trial 11 with value: 0.1213972350746052.
[I 2025-12-03 21:56:33,358] Trial 17 finished with value: 0.08723013683744203 and parameters: {'n_neighbors': 9, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 27}. Best is trial 11 with value: 0.1213972350746052.
[I 2025-12-03 21:56:37,404] Trial 18 finished with value: 0.0842434158616094 and parameters: {'n_neighbors': 6, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 24}. Best is trial 11 with value: 0.1213972350746052.
[I 2025-12-03 21:56:37,572] Trial 19 finished with value: 0.06058493299403208 and parameters: {'n_neighbors': 1, 'weights': 'distance', 'algorithm': 'auto', 'p': 2, 'leaf_size': 30}. Best is trial 11 with value: 0.1213972350746052.
[I 2025-12-03 21:56:40,567] Trial 20 finished with value: 0.09543488911740369 and parameters: {'n_neighbors': 13, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 33}. Best is trial 11 with value: 0.1213972350746052.
[I 2025-12-03 21:56:43,803] Trial 21 finished with value: 0.1213972350746052 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 31}. Best is trial 11 with value: 0.1213972350746052.
[I 2025-12-03 21:56:46,885] Trial 22 finished with value: 0.11819422420579051 and parameters: {'n_neighbors': 18, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 29}. Best is trial 11 with value: 0.1213972350746052.
