[I 2025-12-05 00:29:52,335] A new study created in memory with name: svc_fold_1
[I 2025-12-05 00:30:00,425] Trial 0 finished with value: 0.0568852193359215 and parameters: {'kernel': 'linear', 'C': 87.49666171831073}. Best is trial 0 with value: 0.0568852193359215.
[I 2025-12-05 00:30:14,390] Trial 1 finished with value: 0.05968026948397488 and parameters: {'kernel': 'rbf', 'C': 94.5963741280049}. Best is trial 1 with value: 0.05968026948397488.
[I 2025-12-05 00:30:28,383] Trial 2 finished with value: 0.04875441254971139 and parameters: {'kernel': 'rbf', 'C': 72.65409580049764}. Best is trial 1 with value: 0.05968026948397488.
[I 2025-12-05 00:30:40,076] Trial 3 finished with value: 0.053465246240098754 and parameters: {'kernel': 'poly', 'C': 72.20147212105934}. Best is trial 1 with value: 0.05968026948397488.
[I 2025-12-05 00:30:53,648] Trial 4 finished with value: 0.052058917239251344 and parameters: {'kernel': 'rbf', 'C': 78.21970220455015}. Best is trial 1 with value: 0.05968026948397488.
[I 2025-12-05 00:31:10,229] Trial 5 finished with value: 0.10465344822005836 and parameters: {'kernel': 'sigmoid', 'C': 73.69814056724077}. Best is trial 5 with value: 0.10465344822005836.
[I 2025-12-05 00:31:19,633] Trial 6 finished with value: 0.07140186351504454 and parameters: {'kernel': 'poly', 'C': 76.01519131931433}. Best is trial 5 with value: 0.10465344822005836.
[I 2025-12-05 00:31:31,756] Trial 7 finished with value: 0.053026309000037464 and parameters: {'kernel': 'rbf', 'C': 77.22997648824794}. Best is trial 5 with value: 0.10465344822005836.
[I 2025-12-05 00:31:42,027] Trial 8 finished with value: 0.053962888377781584 and parameters: {'kernel': 'poly', 'C': 90.20610567686965}. Best is trial 5 with value: 0.10465344822005836.
[I 2025-12-05 00:31:56,734] Trial 9 finished with value: 0.05612225121713278 and parameters: {'kernel': 'rbf', 'C': 71.08861170332806}. Best is trial 5 with value: 0.10465344822005836.
[I 2025-12-05 00:32:10,569] Trial 10 finished with value: 0.10488403454773221 and parameters: {'kernel': 'sigmoid', 'C': 82.51895574334463}. Best is trial 10 with value: 0.10488403454773221.
[I 2025-12-05 00:32:26,134] Trial 11 finished with value: 0.10485098082954465 and parameters: {'kernel': 'sigmoid', 'C': 82.92310560221932}. Best is trial 10 with value: 0.10488403454773221.
[I 2025-12-05 00:32:40,294] Trial 12 finished with value: 0.10487312401571466 and parameters: {'kernel': 'sigmoid', 'C': 82.68172006791102}. Best is trial 10 with value: 0.10488403454773221.
[I 2025-12-05 00:32:54,338] Trial 13 finished with value: 0.1048724259887018 and parameters: {'kernel': 'sigmoid', 'C': 82.75604088452393}. Best is trial 10 with value: 0.10488403454773221.
[I 2025-12-05 00:33:08,170] Trial 14 finished with value: 0.10487109182274465 and parameters: {'kernel': 'sigmoid', 'C': 87.33944116581691}. Best is trial 10 with value: 0.10488403454773221.
[I 2025-12-05 00:33:22,310] Trial 15 finished with value: 0.10489744755288202 and parameters: {'kernel': 'sigmoid', 'C': 80.83272043465129}. Best is trial 15 with value: 0.10489744755288202.
[I 2025-12-05 00:33:29,778] Trial 16 finished with value: 0.05685167581840898 and parameters: {'kernel': 'linear', 'C': 79.94015411665929}. Best is trial 15 with value: 0.10489744755288202.
[I 2025-12-05 00:33:43,900] Trial 17 finished with value: 0.10488112585857001 and parameters: {'kernel': 'sigmoid', 'C': 99.25306558931138}. Best is trial 15 with value: 0.10489744755288202.
[I 2025-12-05 00:33:58,692] Trial 18 finished with value: 0.10488766102088061 and parameters: {'kernel': 'sigmoid', 'C': 86.7136612231273}. Best is trial 15 with value: 0.10489744755288202.
[I 2025-12-05 00:34:11,375] Trial 19 finished with value: 0.10491874162335876 and parameters: {'kernel': 'sigmoid', 'C': 88.74817226142581}. Best is trial 19 with value: 0.10491874162335876.
[I 2025-12-05 00:34:18,452] Trial 20 finished with value: 0.05677650397281914 and parameters: {'kernel': 'linear', 'C': 91.55243786167084}. Best is trial 19 with value: 0.10491874162335876.
[I 2025-12-05 00:34:32,100] Trial 21 finished with value: 0.10488435446706039 and parameters: {'kernel': 'sigmoid', 'C': 88.06705372708082}. Best is trial 19 with value: 0.10491874162335876.
[I 2025-12-05 00:34:47,118] Trial 22 finished with value: 0.10487241277637598 and parameters: {'kernel': 'sigmoid', 'C': 85.24542065874648}. Best is trial 19 with value: 0.10491874162335876.
[I 2025-12-05 00:35:01,258] Trial 23 finished with value: 0.1048954944662859 and parameters: {'kernel': 'sigmoid', 'C': 93.97902903378734}. Best is trial 19 with value: 0.10491874162335876.
[I 2025-12-05 00:35:15,840] Trial 24 finished with value: 0.10492533262787432 and parameters: {'kernel': 'sigmoid', 'C': 94.84809529660808}. Best is trial 24 with value: 0.10492533262787432.
[I 2025-12-05 00:35:29,820] Trial 25 finished with value: 0.1048756226203192 and parameters: {'kernel': 'sigmoid', 'C': 97.09279140831349}. Best is trial 24 with value: 0.10492533262787432.
[I 2025-12-05 00:35:42,897] Trial 26 finished with value: 0.10485821966952587 and parameters: {'kernel': 'sigmoid', 'C': 91.49249668610838}. Best is trial 24 with value: 0.10492533262787432.
[I 2025-12-05 00:35:56,612] Trial 27 finished with value: 0.10488106125693522 and parameters: {'kernel': 'sigmoid', 'C': 94.38465379155876}. Best is trial 24 with value: 0.10492533262787432.
[I 2025-12-05 00:36:06,904] Trial 28 finished with value: 0.0683162792384109 and parameters: {'kernel': 'poly', 'C': 79.59011322568102}. Best is trial 24 with value: 0.10492533262787432.
[I 2025-12-05 00:36:14,764] Trial 29 finished with value: 0.05684144049682123 and parameters: {'kernel': 'linear', 'C': 90.58167607097555}. Best is trial 24 with value: 0.10492533262787432.
[I 2025-12-05 00:36:19,773] A new study created in memory with name: svc_fold_2
[I 2025-12-05 00:36:27,784] Trial 0 finished with value: 0.06941064150237676 and parameters: {'kernel': 'linear', 'C': 72.3327343798273}. Best is trial 0 with value: 0.06941064150237676.
[I 2025-12-05 00:36:39,055] Trial 1 finished with value: 0.05439102029250412 and parameters: {'kernel': 'poly', 'C': 75.00125803367759}. Best is trial 0 with value: 0.06941064150237676.
[I 2025-12-05 00:36:50,080] Trial 2 finished with value: 0.05672232930876151 and parameters: {'kernel': 'poly', 'C': 80.47471537758607}. Best is trial 0 with value: 0.06941064150237676.
[I 2025-12-05 00:36:59,243] Trial 3 finished with value: 0.05059000453843192 and parameters: {'kernel': 'poly', 'C': 80.74962667771442}. Best is trial 0 with value: 0.06941064150237676.
[I 2025-12-05 00:37:14,608] Trial 4 finished with value: 0.09480086227753952 and parameters: {'kernel': 'sigmoid', 'C': 96.47073950414348}. Best is trial 4 with value: 0.09480086227753952.
[I 2025-12-05 00:37:22,586] Trial 5 finished with value: 0.06948762288332754 and parameters: {'kernel': 'linear', 'C': 81.1839574293739}. Best is trial 4 with value: 0.09480086227753952.
[I 2025-12-05 00:37:36,143] Trial 6 finished with value: 0.09480694548333146 and parameters: {'kernel': 'sigmoid', 'C': 70.04338575191743}. Best is trial 6 with value: 0.09480694548333146.
[I 2025-12-05 00:37:48,692] Trial 7 finished with value: 0.05828253360179399 and parameters: {'kernel': 'rbf', 'C': 86.49416990040585}. Best is trial 6 with value: 0.09480694548333146.
[I 2025-12-05 00:38:02,589] Trial 8 finished with value: 0.05798213618129636 and parameters: {'kernel': 'rbf', 'C': 94.38380136706196}. Best is trial 6 with value: 0.09480694548333146.
[I 2025-12-05 00:38:15,259] Trial 9 finished with value: 0.05486776550858904 and parameters: {'kernel': 'rbf', 'C': 85.73609804112867}. Best is trial 6 with value: 0.09480694548333146.
[I 2025-12-05 00:38:30,213] Trial 10 finished with value: 0.09482562626097849 and parameters: {'kernel': 'sigmoid', 'C': 70.54191152632164}. Best is trial 10 with value: 0.09482562626097849.
[I 2025-12-05 00:38:44,913] Trial 11 finished with value: 0.09470509391040732 and parameters: {'kernel': 'sigmoid', 'C': 70.61560346702387}. Best is trial 10 with value: 0.09482562626097849.
[I 2025-12-05 00:39:01,003] Trial 12 finished with value: 0.09471484351114312 and parameters: {'kernel': 'sigmoid', 'C': 75.93384055191979}. Best is trial 10 with value: 0.09482562626097849.
[I 2025-12-05 00:39:17,143] Trial 13 finished with value: 0.09480674708675246 and parameters: {'kernel': 'sigmoid', 'C': 70.10729854049673}. Best is trial 10 with value: 0.09482562626097849.
[I 2025-12-05 00:39:33,201] Trial 14 finished with value: 0.09478213603777234 and parameters: {'kernel': 'sigmoid', 'C': 75.56600166769941}. Best is trial 10 with value: 0.09482562626097849.
