[I 2025-12-02 23:25:31,418] A new study created in memory with name: catboost_fold_1
[I 2025-12-02 23:25:54,772] Trial 0 finished with value: 0.17149948716847677 and parameters: {'iterations': 800, 'learning_rate': 0.005635195575472571, 'depth': 4, 'l2_leaf_reg': 8.890604768410508, 'border_count': 214, 'bagging_temperature': 0.2899112358722139, 'random_strength': 0.7481991459897499, 'scale_pos_weight': 5.0542177438995015}. Best is trial 0 with value: 0.17149948716847677.
[I 2025-12-02 23:26:23,332] Trial 1 finished with value: 0.16999373043937616 and parameters: {'iterations': 1000, 'learning_rate': 0.010480876076717001, 'depth': 4, 'l2_leaf_reg': 8.575921352752843, 'border_count': 201, 'bagging_temperature': 0.14795429338927168, 'random_strength': 0.9809437132082928, 'scale_pos_weight': 5.4789315705829225}. Best is trial 0 with value: 0.17149948716847677.
[I 2025-12-02 23:26:53,044] Trial 2 finished with value: 0.1716126879879265 and parameters: {'iterations': 1000, 'learning_rate': 0.010705291531399454, 'depth': 4, 'l2_leaf_reg': 4.398968098775303, 'border_count': 219, 'bagging_temperature': 0.16090334507681148, 'random_strength': 0.5219526225876305, 'scale_pos_weight': 5.55033720740458}. Best is trial 2 with value: 0.1716126879879265.
[I 2025-12-02 23:27:14,315] Trial 3 finished with value: 0.1660713378476666 and parameters: {'iterations': 700, 'learning_rate': 0.01831345136157969, 'depth': 4, 'l2_leaf_reg': 4.31295622229334, 'border_count': 236, 'bagging_temperature': 0.1788261521382336, 'random_strength': 0.8107425815306073, 'scale_pos_weight': 5.812074045537514}. Best is trial 2 with value: 0.1716126879879265.
[I 2025-12-02 23:27:17,941] Trial 4 finished with value: 0.14928875119444387 and parameters: {'iterations': 100, 'learning_rate': 0.002179003757385375, 'depth': 4, 'l2_leaf_reg': 8.332015452104962, 'border_count': 157, 'bagging_temperature': 0.23474598411850411, 'random_strength': 0.951648746197109, 'scale_pos_weight': 5.386090255138588}. Best is trial 2 with value: 0.1716126879879265.
[I 2025-12-02 23:27:32,087] Trial 5 finished with value: 0.1535036782020963 and parameters: {'iterations': 600, 'learning_rate': 0.0014544137735818057, 'depth': 3, 'l2_leaf_reg': 2.0634564998263185, 'border_count': 173, 'bagging_temperature': 0.8458308084219862, 'random_strength': 0.718752876943639, 'scale_pos_weight': 5.920954232538824}. Best is trial 2 with value: 0.1716126879879265.
[I 2025-12-02 23:27:41,231] Trial 6 finished with value: 0.16628585657655187 and parameters: {'iterations': 400, 'learning_rate': 0.019090322264262393, 'depth': 2, 'l2_leaf_reg': 8.274820938735147, 'border_count': 251, 'bagging_temperature': 0.08900373114409943, 'random_strength': 0.3108181613120806, 'scale_pos_weight': 5.064940733443985}. Best is trial 2 with value: 0.1716126879879265.
[I 2025-12-02 23:27:52,884] Trial 7 finished with value: 0.16779412750764902 and parameters: {'iterations': 600, 'learning_rate': 0.01927438630394574, 'depth': 2, 'l2_leaf_reg': 1.5668347709983879, 'border_count': 173, 'bagging_temperature': 0.2887971539721482, 'random_strength': 0.9020027077329307, 'scale_pos_weight': 5.623655654187197}. Best is trial 2 with value: 0.1716126879879265.
[I 2025-12-02 23:28:03,383] Trial 8 finished with value: 0.17382700687647418 and parameters: {'iterations': 300, 'learning_rate': 0.013642297252085642, 'depth': 4, 'l2_leaf_reg': 8.621611234376418, 'border_count': 244, 'bagging_temperature': 0.006663251816931504, 'random_strength': 0.23857164548644527, 'scale_pos_weight': 5.508520395145028}. Best is trial 8 with value: 0.17382700687647418.
[I 2025-12-02 23:28:11,627] Trial 9 finished with value: 0.16253678080726655 and parameters: {'iterations': 400, 'learning_rate': 0.013411628875134248, 'depth': 2, 'l2_leaf_reg': 8.666282452573903, 'border_count': 229, 'bagging_temperature': 0.662674061374194, 'random_strength': 0.6773734063946507, 'scale_pos_weight': 5.425042039161708}. Best is trial 8 with value: 0.17382700687647418.
[I 2025-12-02 23:28:17,661] Trial 10 finished with value: 0.1708583044544054 and parameters: {'iterations': 200, 'learning_rate': 0.015017175152490124, 'depth': 3, 'l2_leaf_reg': 6.585044455570982, 'border_count': 247, 'bagging_temperature': 0.5162353655784084, 'random_strength': 0.05853883331237292, 'scale_pos_weight': 5.2506113683283955}. Best is trial 8 with value: 0.17382700687647418.
