[I 2025-12-04 22:51:32,427] A new study created in memory with name: catboost_fold_1
[I 2025-12-04 22:51:38,851] Trial 0 finished with value: 0.3769811702488918 and parameters: {'iterations': 239, 'learning_rate': 0.006127490857728858}. Best is trial 0 with value: 0.3769811702488918.
[I 2025-12-04 22:51:59,085] Trial 1 finished with value: 0.38222106869267114 and parameters: {'iterations': 952, 'learning_rate': 0.04609039740510206}. Best is trial 1 with value: 0.38222106869267114.
[I 2025-12-04 22:52:09,671] Trial 2 finished with value: 0.38242891838567744 and parameters: {'iterations': 463, 'learning_rate': 0.08727241787033974}. Best is trial 2 with value: 0.38242891838567744.
[I 2025-12-04 22:52:39,599] Trial 3 finished with value: 0.38543501473694597 and parameters: {'iterations': 1429, 'learning_rate': 0.005433816752276312}. Best is trial 3 with value: 0.38543501473694597.
[I 2025-12-04 22:52:48,477] Trial 4 finished with value: 0.3874445599255714 and parameters: {'iterations': 385, 'learning_rate': 0.02478429463841889}. Best is trial 4 with value: 0.3874445599255714.
[I 2025-12-04 22:53:01,733] Trial 5 finished with value: 0.3862626559527357 and parameters: {'iterations': 607, 'learning_rate': 0.016913543992604464}. Best is trial 4 with value: 0.3874445599255714.
[I 2025-12-04 22:53:04,692] Trial 6 finished with value: 0.3731686954613923 and parameters: {'iterations': 104, 'learning_rate': 0.008116148520438607}. Best is trial 4 with value: 0.3874445599255714.
[I 2025-12-04 22:53:13,791] Trial 7 finished with value: 0.38349134311590777 and parameters: {'iterations': 396, 'learning_rate': 0.008857058179176118}. Best is trial 4 with value: 0.3874445599255714.
[I 2025-12-04 22:53:26,155] Trial 8 finished with value: 0.3845217575813418 and parameters: {'iterations': 577, 'learning_rate': 0.009654129731461715}. Best is trial 4 with value: 0.3874445599255714.
[I 2025-12-04 22:53:30,336] Trial 9 finished with value: 0.375263996871841 and parameters: {'iterations': 170, 'learning_rate': 0.007487205208647431}. Best is trial 4 with value: 0.3874445599255714.
[I 2025-12-04 22:53:50,830] Trial 10 finished with value: 0.38517295851034217 and parameters: {'iterations': 985, 'learning_rate': 0.027669567616960287}. Best is trial 4 with value: 0.3874445599255714.
[I 2025-12-04 22:54:06,401] Trial 11 finished with value: 0.3867960651168047 and parameters: {'iterations': 705, 'learning_rate': 0.017369994229177437}. Best is trial 4 with value: 0.3874445599255714.
