[I 2025-12-02 19:12:30,348] A new study created in memory with name: catboost_fold_1
[I 2025-12-02 19:21:38,335] Trial 0 finished with value: 0.3862379338172901 and parameters: {'iterations': 649, 'learning_rate': 0.018862330424839972, 'depth': 10, 'l2_leaf_reg': 6.30213586253357, 'border_count': 231, 'bagging_temperature': 0.7341182131025014, 'random_strength': 0.45948054772710933}. Best is trial 0 with value: 0.3862379338172901.
[I 2025-12-02 19:22:16,709] Trial 1 finished with value: 0.37217108824238404 and parameters: {'iterations': 490, 'learning_rate': 0.25159717878971727, 'depth': 8, 'l2_leaf_reg': 8.878132625105902, 'border_count': 202, 'bagging_temperature': 0.25816386747814557, 'random_strength': 0.8406319319936216}. Best is trial 0 with value: 0.3862379338172901.
[I 2025-12-02 19:23:54,911] Trial 2 finished with value: 0.37160205636208965 and parameters: {'iterations': 701, 'learning_rate': 0.23206243997698633, 'depth': 9, 'l2_leaf_reg': 3.957039988662349, 'border_count': 129, 'bagging_temperature': 0.2167265450192961, 'random_strength': 0.4274519306380423}. Best is trial 0 with value: 0.3862379338172901.
[I 2025-12-02 19:24:03,683] Trial 3 finished with value: 0.3699656797231798 and parameters: {'iterations': 989, 'learning_rate': 0.2914015958348723, 'depth': 5, 'l2_leaf_reg': 3.168426014770136, 'border_count': 162, 'bagging_temperature': 0.6905119671945993, 'random_strength': 0.6344579595846142}. Best is trial 0 with value: 0.3862379338172901.
[I 2025-12-02 19:24:06,922] Trial 4 finished with value: 0.3871359606121513 and parameters: {'iterations': 488, 'learning_rate': 0.09389409125867557, 'depth': 4, 'l2_leaf_reg': 3.4358413356543807, 'border_count': 166, 'bagging_temperature': 0.2923220988899864, 'random_strength': 0.5964329038833719}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:24:09,975] Trial 5 finished with value: 0.3848146938342048 and parameters: {'iterations': 305, 'learning_rate': 0.05578940033122133, 'depth': 5, 'l2_leaf_reg': 6.932194989122997, 'border_count': 161, 'bagging_temperature': 0.7664009907638156, 'random_strength': 0.6073032596053677}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:27:33,877] Trial 6 finished with value: 0.37108119920698845 and parameters: {'iterations': 620, 'learning_rate': 0.21361229847781607, 'depth': 9, 'l2_leaf_reg': 7.272229008507982, 'border_count': 229, 'bagging_temperature': 0.8770197322954333, 'random_strength': 0.6794099879369553}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:27:38,203] Trial 7 finished with value: 0.37562465565306524 and parameters: {'iterations': 760, 'learning_rate': 0.22399287504124626, 'depth': 4, 'l2_leaf_reg': 7.147457948496153, 'border_count': 99, 'bagging_temperature': 0.9274667895774258, 'random_strength': 0.21402468845799583}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:27:42,316] Trial 8 finished with value: 0.386808960192291 and parameters: {'iterations': 327, 'learning_rate': 0.0385496202812196, 'depth': 5, 'l2_leaf_reg': 8.196733982609798, 'border_count': 221, 'bagging_temperature': 0.29209069486801675, 'random_strength': 0.5422390748185002}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:27:45,106] Trial 9 finished with value: 0.38309012278817134 and parameters: {'iterations': 271, 'learning_rate': 0.08713843464368233, 'depth': 6, 'l2_leaf_reg': 3.698358465595777, 'border_count': 67, 'bagging_temperature': 0.5136274229367519, 'random_strength': 0.3459408313209932}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:27:47,013] Trial 10 finished with value: 0.37319550287344966 and parameters: {'iterations': 131, 'learning_rate': 0.13186102071267156, 'depth': 7, 'l2_leaf_reg': 1.169604226418432, 'border_count': 38, 'bagging_temperature': 0.014249789503244736, 'random_strength': 0.00845002960252611}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:27:49,982] Trial 11 finished with value: 0.3838772700337519 and parameters: {'iterations': 419, 'learning_rate': 0.1164589468772452, 'depth': 4, 'l2_leaf_reg': 9.785544291024596, 'border_count': 188, 'bagging_temperature': 0.3592056346794345, 'random_strength': 0.9482059100228893}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:28:03,071] Trial 12 finished with value: 0.3849712970571675 and parameters: {'iterations': 345, 'learning_rate': 0.0126603427990046, 'depth': 6, 'l2_leaf_reg': 4.911158159822079, 'border_count': 255, 'bagging_temperature': 0.4721946634946582, 'random_strength': 0.7281008250373499}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:28:04,261] Trial 13 finished with value: 0.3807527073968465 and parameters: {'iterations': 112, 'learning_rate': 0.16835319957818418, 'depth': 4, 'l2_leaf_reg': 2.007065730684537, 'border_count': 126, 'bagging_temperature': 0.08226762999828446, 'random_strength': 0.2707269778678602}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:28:09,767] Trial 14 finished with value: 0.3866077153873445 and parameters: {'iterations': 512, 'learning_rate': 0.06792091495713051, 'depth': 5, 'l2_leaf_reg': 5.197326930838992, 'border_count': 197, 'bagging_temperature': 0.20218655882167286, 'random_strength': 0.5632238311033086}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:28:27,714] Trial 15 finished with value: 0.38166276824606044 and parameters: {'iterations': 855, 'learning_rate': 0.09323824011813069, 'depth': 6, 'l2_leaf_reg': 8.675435793837693, 'border_count': 165, 'bagging_temperature': 0.43064696840923467, 'random_strength': 0.8059342196768615}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:28:45,588] Trial 16 finished with value: 0.3798200987310794 and parameters: {'iterations': 228, 'learning_rate': 0.15852241776630396, 'depth': 7, 'l2_leaf_reg': 2.47972409490289, 'border_count': 219, 'bagging_temperature': 0.5945881156632711, 'random_strength': 0.508135712981197}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:28:48,808] Trial 17 finished with value: 0.38533431345961516 and parameters: {'iterations': 413, 'learning_rate': 0.04251996754580397, 'depth': 5, 'l2_leaf_reg': 4.513705256379447, 'border_count': 106, 'bagging_temperature': 0.3308249905004939, 'random_strength': 0.9116211347720482}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:28:52,292] Trial 18 finished with value: 0.3808408710851823 and parameters: {'iterations': 528, 'learning_rate': 0.1176585548199211, 'depth': 4, 'l2_leaf_reg': 5.846371623161131, 'border_count': 179, 'bagging_temperature': 0.17496543228228686, 'random_strength': 0.1277721629656367}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:29:28,597] Trial 19 finished with value: 0.37948222022538436 and parameters: {'iterations': 398, 'learning_rate': 0.18501588345218556, 'depth': 7, 'l2_leaf_reg': 8.339098340112683, 'border_count': 255, 'bagging_temperature': 0.3612771971074562, 'random_strength': 0.35862202328334186}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:29:30,682] Trial 20 finished with value: 0.3841275571457009 and parameters: {'iterations': 200, 'learning_rate': 0.04276328389928957, 'depth': 5, 'l2_leaf_reg': 9.962304571862855, 'border_count': 139, 'bagging_temperature': 0.10869417525291114, 'random_strength': 0.7435161093663039}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:29:36,215] Trial 21 finished with value: 0.3850508567359784 and parameters: {'iterations': 504, 'learning_rate': 0.07629588505793171, 'depth': 5, 'l2_leaf_reg': 5.050620200178898, 'border_count': 202, 'bagging_temperature': 0.2604509627430893, 'random_strength': 0.5211294779743512}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:29:52,137] Trial 22 finished with value: 0.38485212071588115 and parameters: {'iterations': 573, 'learning_rate': 0.06705165962006987, 'depth': 6, 'l2_leaf_reg': 5.800121993667315, 'border_count': 207, 'bagging_temperature': 0.15124798714008927, 'random_strength': 0.5886009072196039}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:29:54,852] Trial 23 finished with value: 0.383087317611455 and parameters: {'iterations': 380, 'learning_rate': 0.09723229229560071, 'depth': 4, 'l2_leaf_reg': 2.9832433654459134, 'border_count': 183, 'bagging_temperature': 0.31435043299984644, 'random_strength': 0.5861860178408891}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:30:01,726] Trial 24 finished with value: 0.3858911172607407 and parameters: {'iterations': 577, 'learning_rate': 0.03720435992195153, 'depth': 5, 'l2_leaf_reg': 4.06612760550121, 'border_count': 223, 'bagging_temperature': 0.5554180158284805, 'random_strength': 0.4016833441458745}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:30:10,474] Trial 25 finished with value: 0.37842876581694307 and parameters: {'iterations': 452, 'learning_rate': 0.12994799533643303, 'depth': 6, 'l2_leaf_reg': 7.767581531738309, 'border_count': 149, 'bagging_temperature': 0.42846268630338485, 'random_strength': 0.5237321094329683}. Best is trial 4 with value: 0.3871359606121513.
[I 2025-12-02 19:30:12,929] Trial 26 finished with value: 0.38659386385654326 and parameters: {'iterations': 308, 'learning_rate': 0.06507310824738623, 'depth': 4, 'l2_leaf_reg': 6.508180634353192, 'border_count': 237, 'bagging_temperature': 0.010468990033172754, 'random_strength': 0.71378136130406}. Best is trial 4 with value: 0.3871359606121513.
