[I 2025-12-03 20:10:48,578] A new study created in memory with name: random_forest_fold_1
[I 2025-12-03 20:10:51,185] Trial 0 finished with value: 0.37700498819740424 and parameters: {'n_estimators': 250, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 19, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': False}. Best is trial 0 with value: 0.37700498819740424.
[I 2025-12-03 20:10:53,880] Trial 1 finished with value: 0.37764782679330733 and parameters: {'n_estimators': 250, 'max_depth': 24, 'min_samples_split': 5, 'min_samples_leaf': 19, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:11:09,451] Trial 2 finished with value: 0.36380640376761975 and parameters: {'n_estimators': 250, 'max_depth': 11, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': None, 'criterion': 'entropy', 'bootstrap': True}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:11:12,225] Trial 3 finished with value: 0.37291587167299695 and parameters: {'n_estimators': 300, 'max_depth': 18, 'min_samples_split': 18, 'min_samples_leaf': 11, 'max_features': 'log2', 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:11:37,548] Trial 4 finished with value: 0.3424690559137466 and parameters: {'n_estimators': 275, 'max_depth': 30, 'min_samples_split': 7, 'min_samples_leaf': 14, 'max_features': None, 'criterion': 'gini', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:11:44,916] Trial 5 finished with value: 0.3611802371048777 and parameters: {'n_estimators': 100, 'max_depth': 29, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'criterion': 'entropy', 'bootstrap': True}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:11:46,707] Trial 6 finished with value: 0.3736491619669385 and parameters: {'n_estimators': 225, 'max_depth': 6, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:12:19,108] Trial 7 finished with value: 0.34342827408058996 and parameters: {'n_estimators': 275, 'max_depth': 26, 'min_samples_split': 8, 'min_samples_leaf': 12, 'max_features': None, 'criterion': 'entropy', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:12:20,509] Trial 8 finished with value: 0.3724178398089014 and parameters: {'n_estimators': 125, 'max_depth': 11, 'min_samples_split': 18, 'min_samples_leaf': 19, 'max_features': 'log2', 'criterion': 'entropy', 'bootstrap': True}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:12:51,962] Trial 9 finished with value: 0.3462513983762443 and parameters: {'n_estimators': 275, 'max_depth': 23, 'min_samples_split': 7, 'min_samples_leaf': 20, 'max_features': None, 'criterion': 'log_loss', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:12:54,583] Trial 10 finished with value: 0.37565888969733097 and parameters: {'n_estimators': 175, 'max_depth': 21, 'min_samples_split': 14, 'min_samples_leaf': 15, 'max_features': 'sqrt', 'criterion': 'gini', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:12:56,868] Trial 11 finished with value: 0.3763992826232372 and parameters: {'n_estimators': 200, 'max_depth': 25, 'min_samples_split': 3, 'min_samples_leaf': 17, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:12:59,400] Trial 12 finished with value: 0.3750292848091881 and parameters: {'n_estimators': 225, 'max_depth': 27, 'min_samples_split': 13, 'min_samples_leaf': 17, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:13:01,873] Trial 13 finished with value: 0.3758791091619505 and parameters: {'n_estimators': 175, 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'criterion': 'gini', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:13:04,487] Trial 14 finished with value: 0.36827815409341447 and parameters: {'n_estimators': 225, 'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 8, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:13:07,782] Trial 15 finished with value: 0.3760311561243982 and parameters: {'n_estimators': 300, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 16, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:13:12,321] Trial 16 finished with value: 0.37549418184331185 and parameters: {'n_estimators': 250, 'max_depth': 23, 'min_samples_split': 12, 'min_samples_leaf': 13, 'max_features': 'sqrt', 'criterion': 'log_loss', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:13:14,735] Trial 17 finished with value: 0.3692318304912083 and parameters: {'n_estimators': 200, 'max_depth': 27, 'min_samples_split': 15, 'min_samples_leaf': 9, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:13:16,105] Trial 18 finished with value: 0.37602642458702246 and parameters: {'n_estimators': 150, 'max_depth': 24, 'min_samples_split': 6, 'min_samples_leaf': 18, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': True}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:13:19,613] Trial 19 finished with value: 0.37558863824082056 and parameters: {'n_estimators': 250, 'max_depth': 16, 'min_samples_split': 10, 'min_samples_leaf': 15, 'max_features': 'log2', 'criterion': 'log_loss', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:13:22,409] Trial 20 finished with value: 0.37508834354608417 and parameters: {'n_estimators': 200, 'max_depth': 21, 'min_samples_split': 20, 'min_samples_leaf': 18, 'max_features': 'sqrt', 'criterion': 'gini', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:13:24,774] Trial 21 finished with value: 0.37367240264085155 and parameters: {'n_estimators': 200, 'max_depth': 25, 'min_samples_split': 3, 'min_samples_leaf': 17, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': False}. Best is trial 1 with value: 0.37764782679330733.
[I 2025-12-03 20:13:26,827] Trial 22 finished with value: 0.37811622326763283 and parameters: {'n_estimators': 175, 'max_depth': 28, 'min_samples_split': 2, 'min_samples_leaf': 20, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': False}. Best is trial 22 with value: 0.37811622326763283.
[I 2025-12-03 20:13:28,653] Trial 23 finished with value: 0.37660622861587095 and parameters: {'n_estimators': 150, 'max_depth': 28, 'min_samples_split': 2, 'min_samples_leaf': 20, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': False}. Best is trial 22 with value: 0.37811622326763283.
[I 2025-12-03 20:13:30,913] Trial 24 finished with value: 0.37714011515576407 and parameters: {'n_estimators': 175, 'max_depth': 28, 'min_samples_split': 4, 'min_samples_leaf': 19, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': False}. Best is trial 22 with value: 0.37811622326763283.
[I 2025-12-03 20:13:32,922] Trial 25 finished with value: 0.3766050927591621 and parameters: {'n_estimators': 150, 'max_depth': 28, 'min_samples_split': 2, 'min_samples_leaf': 15, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': False}. Best is trial 22 with value: 0.37811622326763283.
[I 2025-12-03 20:13:34,515] Trial 26 finished with value: 0.37781403890568355 and parameters: {'n_estimators': 175, 'max_depth': 23, 'min_samples_split': 4, 'min_samples_leaf': 18, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': True}. Best is trial 22 with value: 0.37811622326763283.
[I 2025-12-03 20:13:35,806] Trial 27 finished with value: 0.3754691934023249 and parameters: {'n_estimators': 125, 'max_depth': 22, 'min_samples_split': 7, 'min_samples_leaf': 13, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': True}. Best is trial 22 with value: 0.37811622326763283.
[I 2025-12-03 20:13:37,815] Trial 28 finished with value: 0.3775266828026616 and parameters: {'n_estimators': 175, 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 18, 'max_features': 'sqrt', 'criterion': 'entropy', 'bootstrap': True}. Best is trial 22 with value: 0.37811622326763283.
[I 2025-12-03 20:13:39,266] Trial 29 finished with value: 0.37748394518957595 and parameters: {'n_estimators': 125, 'max_depth': 18, 'min_samples_split': 5, 'min_samples_leaf': 20, 'max_features': 'log2', 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 22 with value: 0.37811622326763283.
[I 2025-12-03 20:13:40,769] A new study created in memory with name: random_forest_fold_2
[I 2025-12-03 20:13:59,313] Trial 0 finished with value: 0.34729501336230706 and parameters: {'n_estimators': 175, 'max_depth': 11, 'min_samples_split': 20, 'min_samples_leaf': 16, 'max_features': None, 'criterion': 'log_loss', 'bootstrap': False}. Best is trial 0 with value: 0.34729501336230706.
[I 2025-12-03 20:14:25,856] Trial 1 finished with value: 0.3477574071356792 and parameters: {'n_estimators': 225, 'max_depth': 20, 'min_samples_split': 13, 'min_samples_leaf': 14, 'max_features': None, 'criterion': 'entropy', 'bootstrap': False}. Best is trial 1 with value: 0.3477574071356792.
[I 2025-12-03 20:14:27,006] Trial 2 finished with value: 0.37460906048316883 and parameters: {'n_estimators': 125, 'max_depth': 6, 'min_samples_split': 13, 'min_samples_leaf': 15, 'max_features': 'log2', 'criterion': 'gini', 'bootstrap': False}. Best is trial 2 with value: 0.37460906048316883.
[I 2025-12-03 20:14:29,240] Trial 3 finished with value: 0.3731812114872688 and parameters: {'n_estimators': 150, 'max_depth': 17, 'min_samples_split': 2, 'min_samples_leaf': 16, 'max_features': 'sqrt', 'criterion': 'gini', 'bootstrap': False}. Best is trial 2 with value: 0.37460906048316883.
[I 2025-12-03 20:14:32,664] Trial 4 finished with value: 0.3702634900196103 and parameters: {'n_estimators': 225, 'max_depth': 21, 'min_samples_split': 18, 'min_samples_leaf': 9, 'max_features': 'log2', 'criterion': 'entropy', 'bootstrap': False}. Best is trial 2 with value: 0.37460906048316883.
[I 2025-12-03 20:14:35,523] Trial 5 finished with value: 0.372647512784979 and parameters: {'n_estimators': 250, 'max_depth': 16, 'min_samples_split': 12, 'min_samples_leaf': 19, 'max_features': 'sqrt', 'criterion': 'entropy', 'bootstrap': True}. Best is trial 2 with value: 0.37460906048316883.
[I 2025-12-03 20:14:48,659] Trial 6 finished with value: 0.3746462554874048 and parameters: {'n_estimators': 200, 'max_depth': 18, 'min_samples_split': 6, 'min_samples_leaf': 16, 'max_features': None, 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 6 with value: 0.3746462554874048.
