[I 2025-12-03 02:21:58,494] A new study created in memory with name: decision_tree_fold_1
[I 2025-12-03 02:21:58,892] Trial 0 finished with value: 0.34342916653445543 and parameters: {'max_depth': 14, 'min_samples_split': 17, 'min_samples_leaf': 14, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 0 with value: 0.34342916653445543.
[I 2025-12-03 02:21:59,667] Trial 1 finished with value: 0.3514198320857089 and parameters: {'max_depth': 4, 'min_samples_split': 20, 'min_samples_leaf': 8, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:00,636] Trial 2 finished with value: 0.34557710343688164 and parameters: {'max_depth': 31, 'min_samples_split': 7, 'min_samples_leaf': 14, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:01,502] Trial 3 finished with value: 0.34844989998981657 and parameters: {'max_depth': 9, 'min_samples_split': 19, 'min_samples_leaf': 18, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:04,012] Trial 4 finished with value: 0.33954196182398766 and parameters: {'max_depth': 26, 'min_samples_split': 14, 'min_samples_leaf': 3, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:04,685] Trial 5 finished with value: 0.34502751036689727 and parameters: {'max_depth': 30, 'min_samples_split': 17, 'min_samples_leaf': 19, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:05,574] Trial 6 finished with value: 0.34254021413474034 and parameters: {'max_depth': 21, 'min_samples_split': 3, 'min_samples_leaf': 16, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:07,755] Trial 7 finished with value: 0.3423781673698636 and parameters: {'max_depth': 22, 'min_samples_split': 9, 'min_samples_leaf': 16, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:08,454] Trial 8 finished with value: 0.3470596031444298 and parameters: {'max_depth': 13, 'min_samples_split': 6, 'min_samples_leaf': 14, 'criterion': 'log_loss', 'max_features': 'log2', 'splitter': 'random'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:10,154] Trial 9 finished with value: 0.3507399496548781 and parameters: {'max_depth': 7, 'min_samples_split': 17, 'min_samples_leaf': 2, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:10,842] Trial 10 finished with value: 0.3452428751753315 and parameters: {'max_depth': 3, 'min_samples_split': 12, 'min_samples_leaf': 7, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:11,917] Trial 11 finished with value: 0.34881433434492143 and parameters: {'max_depth': 2, 'min_samples_split': 20, 'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:12,780] Trial 12 finished with value: 0.3505894164675607 and parameters: {'max_depth': 8, 'min_samples_split': 15, 'min_samples_leaf': 8, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:14,665] Trial 13 finished with value: 0.3509069613320284 and parameters: {'max_depth': 7, 'min_samples_split': 20, 'min_samples_leaf': 5, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:15,371] Trial 14 finished with value: 0.35049025823582125 and parameters: {'max_depth': 5, 'min_samples_split': 20, 'min_samples_leaf': 5, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:16,215] Trial 15 finished with value: 0.342327277828793 and parameters: {'max_depth': 11, 'min_samples_split': 13, 'min_samples_leaf': 9, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:18,601] Trial 16 finished with value: 0.3432120863753676 and parameters: {'max_depth': 18, 'min_samples_split': 10, 'min_samples_leaf': 11, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:21,052] Trial 17 finished with value: 0.3450070495789682 and parameters: {'max_depth': 16, 'min_samples_split': 16, 'min_samples_leaf': 5, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:21,697] Trial 18 finished with value: 0.3445509342589346 and parameters: {'max_depth': 6, 'min_samples_split': 18, 'min_samples_leaf': 11, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:22,593] Trial 19 finished with value: 0.344516520909986 and parameters: {'max_depth': 11, 'min_samples_split': 20, 'min_samples_leaf': 5, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:23,356] Trial 20 finished with value: 0.3474722481405891 and parameters: {'max_depth': 4, 'min_samples_split': 15, 'min_samples_leaf': 7, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:25,160] Trial 21 finished with value: 0.3504042668324244 and parameters: {'max_depth': 8, 'min_samples_split': 18, 'min_samples_leaf': 1, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:26,669] Trial 22 finished with value: 0.35062680750460473 and parameters: {'max_depth': 6, 'min_samples_split': 18, 'min_samples_leaf': 3, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:28,674] Trial 23 finished with value: 0.3469255901352103 and parameters: {'max_depth': 11, 'min_samples_split': 20, 'min_samples_leaf': 3, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:30,562] Trial 24 finished with value: 0.3510330547873302 and parameters: {'max_depth': 7, 'min_samples_split': 16, 'min_samples_leaf': 9, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:31,635] Trial 25 finished with value: 0.34881433434492143 and parameters: {'max_depth': 2, 'min_samples_split': 15, 'min_samples_leaf': 10, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:32,483] Trial 26 finished with value: 0.3478477941852628 and parameters: {'max_depth': 10, 'min_samples_split': 19, 'min_samples_leaf': 12, 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:34,838] Trial 27 finished with value: 0.3426128933187991 and parameters: {'max_depth': 14, 'min_samples_split': 13, 'min_samples_leaf': 7, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:35,527] Trial 28 finished with value: 0.3486588994086438 and parameters: {'max_depth': 4, 'min_samples_split': 18, 'min_samples_leaf': 9, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:36,211] Trial 29 finished with value: 0.3434793782496959 and parameters: {'max_depth': 13, 'min_samples_split': 16, 'min_samples_leaf': 5, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:38,578] A new study created in memory with name: decision_tree_fold_2
[I 2025-12-03 02:22:38,972] Trial 0 finished with value: 0.34396692680176116 and parameters: {'max_depth': 2, 'min_samples_split': 16, 'min_samples_leaf': 3, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 0 with value: 0.34396692680176116.
