[I 2025-11-27 04:47:04,902] A new study created in memory with name: decision_tree_fold_1
[I 2025-11-27 04:47:06,256] Trial 0 finished with value: 0.33917153169729614 and parameters: {'max_depth': 35, 'min_samples_split': 15}. Best is trial 0 with value: 0.33917153169729614.
[I 2025-11-27 04:47:06,545] Trial 1 finished with value: 0.3453332569468584 and parameters: {'max_depth': 2, 'min_samples_split': 41}. Best is trial 1 with value: 0.3453332569468584.
[I 2025-11-27 04:47:07,849] Trial 2 finished with value: 0.3413202467482055 and parameters: {'max_depth': 27, 'min_samples_split': 46}. Best is trial 1 with value: 0.3453332569468584.
[I 2025-11-27 04:47:09,169] Trial 3 finished with value: 0.34085716935779337 and parameters: {'max_depth': 30, 'min_samples_split': 37}. Best is trial 1 with value: 0.3453332569468584.
[I 2025-11-27 04:47:10,357] Trial 4 finished with value: 0.3441786935999052 and parameters: {'max_depth': 14, 'min_samples_split': 43}. Best is trial 1 with value: 0.3453332569468584.
[I 2025-11-27 04:47:11,633] Trial 5 finished with value: 0.33930876847341496 and parameters: {'max_depth': 17, 'min_samples_split': 6}. Best is trial 1 with value: 0.3453332569468584.
[I 2025-11-27 04:47:12,983] Trial 6 finished with value: 0.34091977003417223 and parameters: {'max_depth': 40, 'min_samples_split': 33}. Best is trial 1 with value: 0.3453332569468584.
[I 2025-11-27 04:47:13,273] Trial 7 finished with value: 0.3453332569468584 and parameters: {'max_depth': 2, 'min_samples_split': 6}. Best is trial 1 with value: 0.3453332569468584.
[I 2025-11-27 04:47:14,650] Trial 8 finished with value: 0.33866633570840116 and parameters: {'max_depth': 38, 'min_samples_split': 19}. Best is trial 1 with value: 0.3453332569468584.
[I 2025-11-27 04:47:15,991] Trial 9 finished with value: 0.3392054320125099 and parameters: {'max_depth': 26, 'min_samples_split': 12}. Best is trial 1 with value: 0.3453332569468584.
[I 2025-11-27 04:47:16,282] Trial 10 finished with value: 0.3453332569468584 and parameters: {'max_depth': 2, 'min_samples_split': 27}. Best is trial 1 with value: 0.3453332569468584.
[I 2025-11-27 04:47:16,797] Trial 11 finished with value: 0.3494256871572113 and parameters: {'max_depth': 4, 'min_samples_split': 3}. Best is trial 11 with value: 0.3494256871572113.
[I 2025-11-27 04:47:17,882] Trial 12 finished with value: 0.3472781038868994 and parameters: {'max_depth': 11, 'min_samples_split': 27}. Best is trial 11 with value: 0.3494256871572113.
[I 2025-11-27 04:47:18,911] Trial 13 finished with value: 0.3477071977152395 and parameters: {'max_depth': 10, 'min_samples_split': 25}. Best is trial 11 with value: 0.3494256871572113.
[I 2025-11-27 04:47:19,883] Trial 14 finished with value: 0.34707682603064854 and parameters: {'max_depth': 9, 'min_samples_split': 21}. Best is trial 11 with value: 0.3494256871572113.
[I 2025-11-27 04:47:20,790] Trial 15 finished with value: 0.34899546492600986 and parameters: {'max_depth': 8, 'min_samples_split': 10}. Best is trial 11 with value: 0.3494256871572113.
[I 2025-11-27 04:47:22,111] Trial 16 finished with value: 0.3381385342633771 and parameters: {'max_depth': 20, 'min_samples_split': 3}. Best is trial 11 with value: 0.3494256871572113.
[I 2025-11-27 04:47:22,932] Trial 17 finished with value: 0.35051135184577037 and parameters: {'max_depth': 7, 'min_samples_split': 13}. Best is trial 17 with value: 0.35051135184577037.
[I 2025-11-27 04:47:23,755] Trial 18 finished with value: 0.34983805159821535 and parameters: {'max_depth': 7, 'min_samples_split': 3}. Best is trial 17 with value: 0.35051135184577037.
[I 2025-11-27 04:47:24,999] Trial 19 finished with value: 0.34188475189475975 and parameters: {'max_depth': 15, 'min_samples_split': 15}. Best is trial 17 with value: 0.35051135184577037.
[I 2025-11-27 04:47:25,720] Trial 20 finished with value: 0.35134478651166423 and parameters: {'max_depth': 6, 'min_samples_split': 9}. Best is trial 20 with value: 0.35134478651166423.
[I 2025-11-27 04:47:26,543] Trial 21 finished with value: 0.3498568527829898 and parameters: {'max_depth': 7, 'min_samples_split': 9}. Best is trial 20 with value: 0.35134478651166423.
