[I 2025-12-02 17:42:16,315] A new study created in memory with name: catboost_fold_1
[I 2025-12-02 17:42:17,241] Trial 0 finished with value: 0.3766043542413029 and parameters: {'iterations': 100, 'learning_rate': 0.015275272607058112, 'depth': 2, 'l2_leaf_reg': 1.3787922483072659, 'border_count': 176, 'bagging_temperature': 0.32666387111775486, 'random_strength': 0.8247266930745858}. Best is trial 0 with value: 0.3766043542413029.
[I 2025-12-02 17:42:18,501] Trial 1 finished with value: 0.3833066830173025 and parameters: {'iterations': 200, 'learning_rate': 0.0027667043900633584, 'depth': 2, 'l2_leaf_reg': 8.356575861145032, 'border_count': 198, 'bagging_temperature': 0.7368124951447907, 'random_strength': 0.11261085505952229}. Best is trial 1 with value: 0.3833066830173025.
[I 2025-12-02 17:42:20,526] Trial 2 finished with value: 0.3862684523698011 and parameters: {'iterations': 400, 'learning_rate': 0.014247233980824604, 'depth': 2, 'l2_leaf_reg': 3.318232811737922, 'border_count': 253, 'bagging_temperature': 0.7198603124235357, 'random_strength': 0.3518840815469638}. Best is trial 2 with value: 0.3862684523698011.
[I 2025-12-02 17:42:21,807] Trial 3 finished with value: 0.3806608595807063 and parameters: {'iterations': 200, 'learning_rate': 0.005577002736041263, 'depth': 2, 'l2_leaf_reg': 5.237776975804756, 'border_count': 249, 'bagging_temperature': 0.6012768470971893, 'random_strength': 0.292031399351955}. Best is trial 2 with value: 0.3862684523698011.
[I 2025-12-02 17:42:22,779] Trial 4 finished with value: 0.38194471957412485 and parameters: {'iterations': 100, 'learning_rate': 0.01937516470857037, 'depth': 3, 'l2_leaf_reg': 7.127856655147818, 'border_count': 185, 'bagging_temperature': 0.42808124704389183, 'random_strength': 0.6787875992421503}. Best is trial 2 with value: 0.3862684523698011.
[I 2025-12-02 17:42:23,664] Trial 5 finished with value: 0.3835926757188602 and parameters: {'iterations': 100, 'learning_rate': 0.00442619631332747, 'depth': 2, 'l2_leaf_reg': 2.053444336435786, 'border_count': 163, 'bagging_temperature': 0.05659125686959876, 'random_strength': 0.06904820045649829}. Best is trial 2 with value: 0.3862684523698011.
[I 2025-12-02 17:42:28,499] Trial 6 finished with value: 0.3853586358520643 and parameters: {'iterations': 1000, 'learning_rate': 0.016156200957743116, 'depth': 3, 'l2_leaf_reg': 8.865339020577906, 'border_count': 184, 'bagging_temperature': 0.7945211540638278, 'random_strength': 0.623254062613615}. Best is trial 2 with value: 0.3862684523698011.
[I 2025-12-02 17:42:30,443] Trial 7 finished with value: 0.38578218542165194 and parameters: {'iterations': 400, 'learning_rate': 0.008323270111261102, 'depth': 2, 'l2_leaf_reg': 6.032750157706242, 'border_count': 154, 'bagging_temperature': 0.5348934486981253, 'random_strength': 0.6430398703799857}. Best is trial 2 with value: 0.3862684523698011.
[I 2025-12-02 17:42:32,076] Trial 8 finished with value: 0.38762225605525624 and parameters: {'iterations': 300, 'learning_rate': 0.014652588102961439, 'depth': 2, 'l2_leaf_reg': 2.916974718819296, 'border_count': 248, 'bagging_temperature': 0.3639115216444716, 'random_strength': 0.04178307871779763}. Best is trial 8 with value: 0.38762225605525624.
[I 2025-12-02 17:42:36,299] Trial 9 finished with value: 0.38846757785159725 and parameters: {'iterations': 700, 'learning_rate': 0.0030449056396440826, 'depth': 4, 'l2_leaf_reg': 4.347724567768977, 'border_count': 166, 'bagging_temperature': 0.041882385967685565, 'random_strength': 0.08652856673013054}. Best is trial 9 with value: 0.38846757785159725.
[I 2025-12-02 17:42:41,592] Trial 10 finished with value: 0.37966003180995056 and parameters: {'iterations': 800, 'learning_rate': 0.0010997498994648278, 'depth': 4, 'l2_leaf_reg': 4.506032661299988, 'border_count': 223, 'bagging_temperature': 0.026976352302055567, 'random_strength': 0.33543736853341294}. Best is trial 9 with value: 0.38846757785159725.
