[I 2025-12-04 07:10:56,995] A new study created in memory with name: decision_tree_fold_1
[I 2025-12-04 07:10:57,081] Trial 0 finished with value: 0.34421339202889223 and parameters: {'max_depth': 18, 'min_samples_split': 6, 'min_samples_leaf': 17, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 0 with value: 0.34421339202889223.
[I 2025-12-04 07:11:00,131] Trial 1 finished with value: 0.345806300394632 and parameters: {'max_depth': 32, 'min_samples_split': 13, 'min_samples_leaf': 16, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.345806300394632.
[I 2025-12-04 07:11:00,292] Trial 2 finished with value: 0.3409957988859571 and parameters: {'max_depth': 28, 'min_samples_split': 11, 'min_samples_leaf': 18, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'random'}. Best is trial 1 with value: 0.345806300394632.
[I 2025-12-04 07:11:00,449] Trial 3 finished with value: 0.344457751606638 and parameters: {'max_depth': 21, 'min_samples_split': 7, 'min_samples_leaf': 18, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 1 with value: 0.345806300394632.
[I 2025-12-04 07:11:00,784] Trial 4 finished with value: 0.345043034345454 and parameters: {'max_depth': 31, 'min_samples_split': 6, 'min_samples_leaf': 15, 'criterion': 'gini', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 1 with value: 0.345806300394632.
[I 2025-12-04 07:11:00,927] Trial 5 finished with value: 0.33814922979672213 and parameters: {'max_depth': 3, 'min_samples_split': 5, 'min_samples_leaf': 20, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 1 with value: 0.345806300394632.
[I 2025-12-04 07:11:01,407] Trial 6 finished with value: 0.3429161864999043 and parameters: {'max_depth': 26, 'min_samples_split': 6, 'min_samples_leaf': 18, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 1 with value: 0.345806300394632.
[I 2025-12-04 07:11:01,804] Trial 7 finished with value: 0.34618519086951227 and parameters: {'max_depth': 29, 'min_samples_split': 10, 'min_samples_leaf': 18, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 7 with value: 0.34618519086951227.
[I 2025-12-04 07:11:02,099] Trial 8 finished with value: 0.3508100567282031 and parameters: {'max_depth': 6, 'min_samples_split': 5, 'min_samples_leaf': 16, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 8 with value: 0.3508100567282031.
[I 2025-12-04 07:11:04,261] Trial 9 finished with value: 0.3418414654414027 and parameters: {'max_depth': 15, 'min_samples_split': 18, 'min_samples_leaf': 16, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 8 with value: 0.3508100567282031.
[I 2025-12-04 07:11:04,951] Trial 10 finished with value: 0.34881433434492143 and parameters: {'max_depth': 2, 'min_samples_split': 15, 'min_samples_leaf': 20, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'best'}. Best is trial 8 with value: 0.3508100567282031.
