"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"A1CF","Approved symbol","A1CF","APOBEC1 complementation factor","HGNC:24086","10q11.23"
"AAAS","Approved symbol","AAAS","aladin WD repeat nucleoporin","HGNC:13666","12q13.13"
"AANAT","Approved symbol","AANAT","aralkylamine N-acetyltransferase","HGNC:19","17q25.1"
"AARS1","Approved symbol","AARS1","alanyl-tRNA synthetase 1","HGNC:20","16q22.1"
"AARS2","Approved symbol","AARS2","alanyl-tRNA synthetase 2, mitochondrial","HGNC:21022","6p21.1"
"AASS","Approved symbol","AASS","aminoadipate-semialdehyde synthase","HGNC:17366","7q31.32"
"ABCA1","Approved symbol","ABCA1","ATP binding cassette subfamily A member 1","HGNC:29","9q31.1"
"ABCA12","Approved symbol","ABCA12","ATP binding cassette subfamily A member 12","HGNC:14637","2q35"
"ABCA3","Approved symbol","ABCA3","ATP binding cassette subfamily A member 3","HGNC:33","16p13.3"
"ABCA4","Approved symbol","ABCA4","ATP binding cassette subfamily A member 4","HGNC:34","1p22.1"
"ABCB1","Approved symbol","ABCB1","ATP binding cassette subfamily B member 1","HGNC:40","7q21.12"
"ABCB11","Approved symbol","ABCB11","ATP binding cassette subfamily B member 11","HGNC:42","2q31.1"
"ABCB4","Approved symbol","ABCB4","ATP binding cassette subfamily B member 4","HGNC:45","7q21.12"
"ABCB7","Approved symbol","ABCB7","ATP binding cassette subfamily B member 7","HGNC:48","Xq13.3"
"ABCC2","Approved symbol","ABCC2","ATP binding cassette subfamily C member 2","HGNC:53","10q24.2"
"ABCC6","Approved symbol","ABCC6","ATP binding cassette subfamily C member 6","HGNC:57","16p13.11"
"ABCC8","Approved symbol","ABCC8","ATP binding cassette subfamily C member 8","HGNC:59","11p15.1"
"ABCC9","Approved symbol","ABCC9","ATP binding cassette subfamily C member 9","HGNC:60","12p12.1"
"ABCD1","Approved symbol","ABCD1","ATP binding cassette subfamily D member 1","HGNC:61","Xq28"
